Site,Lat,Lon,Daymet_Alt,Daymet_Tile,WCAP,WP,Lat_r,MAP
freemangrass_grass,29.93,-98.01,255.0,10661.0,436.747009277344,253.440994262695,0.5223770451219029,914.8823529411765
ibp_grassland,32.589,-106.847,1323.0,11017.0,351.419006347656,106.473999023438,0.568785349932432,261.20588235294116
kansas_grassland,39.0561,-95.1907,330.0,11563.0,409.950012207031,184.796005249023,0.6816575379881573,1031.7058823529412
lethbridge_grassland,49.7092,-112.9403,937.0,12454.0,422.584014892578,158.162002563477,0.8675892085323653,402.02941176470586
marena_canopy,36.06434,-97.21271,324.0,11382.0,378.307006835938,162.951995849609,0.6294414755586918,974.3529411764706
vaira_grass,38.4133,-120.9506,157.0,11550.0,404.596008300781,178.6875,0.6704385615563377,655.0882352941177
